dimension,first_has,first_total,first_pct,last_has,last_total,last_pct,change,change_pct
SpatialComposition,130,150,86.66666666666667,143,150,95.33333333333334,13,8.666666666666671
Style,77,150,51.33333333333333,95,150,63.33333333333333,18,12.0
SubjectScene,150,150,100.0,150,150,100.0,0,0.0
LightingColor,106,150,70.66666666666667,119,150,79.33333333333333,13,8.666666666666657
DetailTexture,72,150,48.0,93,150,62.0,21,14.0
Others,71,150,47.333333333333336,70,150,46.666666666666664,-1,-0.6666666666666714
