Dimension,Inclusion_Rate_%,Avg_Sentences,Avg_Characters
SubjectScene,100.0,7.833333333333333,33.79333333333334
SpatialComposition,86.66666666666667,7.176923076923077,57.45384615384615
LightingColor,70.66666666666667,3.8962264150943398,22.77358490566038
Style,51.33333333333333,1.5844155844155845,7.8441558441558445
DetailTexture,48.0,2.9027777777777777,15.25
Others,47.333333333333336,1.732394366197183,11.056338028169014
