dimension,n_transitions,mean_ai_score,mean_ai_change,mean_user_score,positive_count,negative_count,zero_count,positive_pct
SpatialComposition,14,64.59785714285715,2.6571428571428584,0.0,8,6,0,57.14285714285714
Style,23,69.33565217391303,9.997826086956518,0.0,21,2,0,91.30434782608695
LightingColor,16,70.971875,4.838125000000002,0.0,9,7,0,56.25
DetailTexture,34,72.11235294117647,2.649117647058822,0.0,19,14,1,55.88235294117647
Others,40,71.3715,2.420000000000001,0.0,28,12,0,70.0
