dimension,n_additions,mean_score_change,median_score_change,positive_count,negative_count,no_change_count,positive_pct
SpatialComposition,310,1.8292258064516131,0.6499999999999986,182,126,2,58.70967741935483
Style,102,3.4927450980392156,1.7600000000000051,67,34,1,65.68627450980392
SubjectScene,300,2.225866666666667,0.9299999999999962,182,115,3,60.66666666666667
LightingColor,198,1.986919191919192,0.7850000000000037,114,83,1,57.57575757575758
DetailTexture,172,1.8234302325581397,1.0399999999999991,106,65,1,61.627906976744185
Others,139,1.5220143884892086,0.6599999999999966,81,56,2,58.27338129496403
